0,1
92,163
121,13
99,131
63,2
22,91
113,0
110,26
118,23
7,24
196,22
25,53
35,14
11,4
205,17
12,14
57,66
19,0
19,10
38,11
43,13
47,46
37,31
21,20
94,48
50,23
60,87
93,71
67,62
5,69
153,11
55,63
11,53
102,69
4,94
51,57
34,80
60,13
66,46
29,68
44,78
30,82
80,99
160,82
85,3
70,20
92,115
194,23
11,9
87,43
67,121
8,84
83,59
56,55
53,147
61,31
60,32
185,44
206,51
129,77
122,36
176,96
81,88
127,58
154,46
85,156
154,92
193,127
37,168
67,110
93,91
96,203
115,47
41,148
102,102
124,143
110,41
96,93
99,86
28,37
26,63
135,84
94,53
136,51
64,165
86,75
103,57
24,145
87,102
118,69
213,159
192,61
121,117
89,57
138,81
99,97
86,58
139,105
154,190
2,9
160,39
