0,1
10,88
14,12
19,16
35,6
0,29
33,103
76,2
39,9
0,1
0,102
9,0
1,0
0,168
0,16
30,8
0,0
2,0
1,1
13,2
0,44
1,10
5,1
12,2
28,7
0,0
1,5
0,3
5,1
9,1
4,16
2,1
0,2
8,3
58,5
2,5
0,0
20,16
16,0
10,5
11,5
13,0
7,5
8,3
2,0
6,3
2,1
533,10
2,1
4,17
1,88
0,4
2,4
4,19
8,4
11,30
57,113
285,22
20,12
1,42
11,28
0,2
5,75
18,16
7,24
312,7
213,11
101,99
13,99
5,33
40,7
54,8
50,0
16,7
14,27
58,9
22,76
24,58
36,34
2,121
6,13
34,3
20,40
159,29
1,96
63,15
58,153
12,169
30,27
28,20
163,113
0,5
60,104
2,95
25,3
49,165
24,212
172,44
31,189
0,81
379,2
