0,1
15,1
321,28
22,34
53,57
11,69
152,0
53,94
123,243
85,117
1,320
149,215
218,221
186,3
0,3
248,54
110,100
164,31
48,129
71,180
119,0
93,149
70,206
4,117
243,289
374,60
176,83
141,316
23,118
96,164
77,38
227,101
0,204
129,27
25,52
170,83
48,23
261,109
120,26
143,87
413,104
95,68
135,175
244,49
166,139
168,100
119,29
0,50
94,0
136,110
45,87
9,7
225,25
65,34
17,1
22,3
1,17
6,77
0,97
27,54
14,99
164,4
44,43
20,15
38,203
59,30
8,29
41,19
235,14
30,26
26,34
88,5
132,14
236,9
10,50
95,150
12,176
41,90
18,27
47,10
36,20
16,19
64,1
10,45
72,79
47,11
120,61
158,56
8,23
32,11
21,11
4,63
3,2
22,108
48,3
48,13
20,3
12,177
8,60
36,4
93,252
