0,1
22,155
140,143
253,138
168,177
213,52
114,0
84,1
36,28
3,13
0,177
12,19
18,13
13,120
57,305
110,47
11,18
3,0
27,30
110,17
11,84
11,66
37,47
203,31
60,23
31,13
99,16
3,39
155,62
1,13
18,298
67,102
343,72
8,22
232,99
45,24
66,44
149,319
69,25
70,47
92,90
66,16
37,36
17,83
9,353
14,10
12,116
0,172
177,254
7,352
69,9
267,123
24,187
48,88
167,27
104,112
227,280
21,162
92,311
0,245
122,196
291,118
293,184
109,183
36,27
105,104
32,46
152,38
224,47
50,76
245,102
31,69
70,227
170,142
106,48
135,95
238,278
107,95
152,127
20,199
251,149
61,36
70,150
69,277
97,53
105,228
69,283
245,61
197,183
101,88
101,200
13,158
287,182
92,236
123,55
148,196
98,191
60,67
45,86
212,316
69,50
